ID,ObsType,ObsDateTime,Latitude,Longitude,Elevation,UTCOffset,LimitingMag,CloudCover,SQMReading,SQMSerial,Constellation,SkyComment,LocationComment,Country
241154,Globe at Night,2017-12-06 16:29:00+00:00,-16.8095,-70.6864,3225.42,300,5,-1,,,Grus,,Rural zone,Peru
222802,Globe at Night,2017-09-26 19:00:00+00:00,-23.9694,-46.3398,5.30767,120,2,-1,16.43,,Sagittarius,,,Brazil
222801,Globe at Night,2017-09-25 20:00:00+00:00,-23.9719,-46.3503,1.33748,120,3,-1,16.74,,Sagittarius,,,Brazil
222800,Globe at Night,2017-09-25 20:00:00+00:00,-23.9719,-46.3503,1.33748,120,2,-1,15.6,,Sagittarius,,,Brazil
222799,Globe at Night,2017-09-23 18:30:00+00:00,-23.9726,-46.3291,1.54149,120,2,-1,15.6,,Sagittarius,,,Brazil
222798,Globe at Night,2017-09-17 18:20:00+00:00,-23.9924,-46.277,6.49704,120,3,-1,17.7,,Sagittarius,,,Brazil
222796,Globe at Night,2017-06-11 15:22:00+00:00,-23.9571,-46.2762,7.0,180,4,-1,18.0,,Crux,,,Brazil
222795,Globe at Night,2017-09-20 20:00:00+00:00,-23.9679,-46.2784,4.19421,120,3,-1,17.18,,Sagittarius,,,Brazil
222794,Globe at Night,2017-06-11 19:00:00+00:00,-23.9561,-46.2899,6.38871,180,4,-1,17.91,,Crux,,,Brazil
222793,Globe at Night,2017-06-06 18:00:00+00:00,-23.9432,-46.2817,4.21035,180,3,-1,16.87,,Crux,,,Brazil
222792,Globe at Night,2017-06-11 17:00:00+00:00,-23.9436,-46.2988,8.48343,180,3,-1,17.36,,Crux,,,Brazil
222791,Globe at Night,2017-09-05 18:00:00+00:00,-23.9319,-46.3245,3.33925,180,3,-1,16.8,,Sagittarius,,,Brazil
222790,Globe at Night,2017-08-22 17:00:00+00:00,-23.9613,-46.3106,7.66985,180,2,-1,16.13,,Sagittarius,,,Brazil
222788,Globe at Night,2017-08-21 18:00:00+00:00,-23.9503,-46.3437,7.21737,180,3,-1,16.96,,Scorpius,,,Brazil
222787,Globe at Night,2017-08-21 18:00:00+00:00,-23.9503,-46.3437,7.21737,180,3,-1,16.96,,Scorpius,,,Brazil
222786,Globe at Night,2017-08-21 17:00:00+00:00,-23.9504,-46.3372,9.50188,180,3,-1,17.45,,Sagittarius,,,Brazil
222785,Globe at Night,2017-05-10 18:00:00+00:00,-23.9707,-46.2993,3.80189,180,2,-1,15.91,,Crux,,,Brazil
222784,Globe at Night,2017-05-29 17:30:00+00:00,-23.9586,-46.333,8.65001,180,1,-1,15.57,,Crux,,,Brazil
222783,Globe at Night,2017-08-20 18:30:00+00:00,-23.9553,-46.3211,8.4681,180,3,-1,16.77,,Sagittarius,,,Brazil
222781,Globe at Night,2017-08-20 17:00:00+00:00,-23.9658,-46.3225,12.1942,180,3,-1,17.22,,Sagittarius,,,Brazil
222779,Globe at Night,2017-08-10 18:00:00+00:00,-23.9729,-46.3136,9.83356,180,3,-1,16.66,,Sagittarius,,,Brazil
222776,Globe at Night,2017-06-12 17:00:00+00:00,-23.9549,-46.414,6.58807,180,2,-1,16.56,,Crux,,,Brazil
222774,Globe at Night,2017-06-10 18:00:00+00:00,-23.9648,-46.393,11.3133,180,2,-1,16.5,,Crux,,,Brazil
222771,Globe at Night,2017-05-29 17:30:00+00:00,-23.962,-46.4061,11.1499,180,4,-1,18.0,,Crux,,,Brazil
213033,Loss of the Night,2017-06-20 16:25:57+00:00,37.3785,-107.583,0.0,360,-999,-1,,,None,"From ""Loss of the Night"";NELM=0.00 +/- 0.00 (method 2);11 stars, faintest found V=5.06",,None
212281,Loss of the Night,2017-09-16 01:35:59+00:00,53.5846,8.0608,0.0,-120,6,-1,,,None,"From ""Loss of the Night"";NELM=5.99 +/- 1.01 (method 1);8 stars, faintest found V=4.98",,None
204099,Globe at Night,2017-06-22 21:44:00+00:00,40.7267,-108.887,1630.21,360,6,-1,21.83,,Hercules,,Gates of Lodore,United States - Colorado
204098,Globe at Night,2017-06-19 18:06:00+00:00,40.7271,-108.887,1630.58,360,6,-1,21.72,,Hercules,,,United States - Colorado
204097,Globe at Night,2017-10-13 17:00:00+00:00,40.521,-108.993,1550.18,420,6,-1,21.77,,Pegasus,,,United States - Colorado
204096,Globe at Night,2017-10-10 13:56:00+00:00,40.5408,-109.06,1534.27,420,6,-1,21.73,,Pegasus,,,United States - Utah
202835,Loss of the Night,2017-06-22 04:05:37+00:00,36.8786,-3.7421,0.0,-120,6,-1,,,None,"From ""Loss of the Night"";NELM=6.04 +/- 0.96 (method 1);8 stars, faintest found V=5.07",,None
202834,Loss of the Night,2017-06-17 03:40:08+00:00,38.488,-2.6392,0.0,-120,6,-1,,,None,"From ""Loss of the Night"";NELM=6.00 +/- 1.00 (method 1);14 stars, faintest found V=5.00",,None
202621,Loss of the Night,2017-08-22 00:44:20+00:00,44.2555,16.0701,0.0,-120,-999,-1,,,None,"From ""Loss of the Night"";NELM=0.00 +/- 0.00 (method 2);8 stars, faintest found V=4.71",,None
202620,Loss of the Night,2017-04-19 04:02:12+00:00,59.9624,22.9581,0.0,-180,6,-1,,,None,"From ""Loss of the Night"";NELM=6.04 +/- 0.96 (method 1);8 stars, faintest found V=5.07",,None
202515,Loss of the Night,2017-06-27 04:49:47+00:00,38.9366,26.9349,0.0,-180,-999,-1,,,None,"From ""Loss of the Night"";NELM=0.00 +/- 0.00 (method 2);28 stars, faintest found V=5.07",,None
200909,Globe at Night,2017-11-26 19:38:00+00:00,49.1951,16.6068,222.019,-60,4,25,,,Perseus,,"příměstská lokalita, obora Holedná, hodně stromů",Czech Republic
200343,Globe at Night,2017-11-17 04:19:00+00:00,28.561,77.0499,217.0,-330,4,50,,,Perseus,,,India
199713,Globe at Night,2017-01-08 21:30:00+00:00,52.3051,-3.62275,0.0,0,6,-1,21.6,,Taurus,,0 degrees celcius  clear skies  remote location  8 miles from nearest habitation (small village with street lights)  11 miles from nearest town (population 2000),United Kingdom
199597,Loss of the Night,2017-11-24 01:34:05+00:00,39.9019,28.1853,0.0,-180,6,-1,,,None,"From ""Loss of the Night"";NELM=6.00 +/- 1.00 (method 1);8 stars, faintest found V=4.99",,None
199134,Globe at Night,2017-08-24 14:45:00+00:00,34.0808,-118.687,185.279,420,5,25,20.0,,Cygnus,,,United States - California
199133,Globe at Night,2017-11-17 15:17:00+00:00,34.7678,-112.619,1443.32,480,6,-1,21.1,,Perseus,,,United States - Arizona
199076,Globe at Night,2017-11-17 13:12:00+00:00,33.9921,-116.064,1331.4,480,6,-1,21.25,202,Perseus,Clear and dark,Desert campground,United States - California
198979,Globe at Night,2017-12-08 22:55:00+00:00,44.1176,15.2366,13.0243,-60,3,25,,,Perseus,,Urban,Croatia
198978,Globe at Night,2017-12-01 22:30:00+00:00,44.1176,15.2366,13.0243,-60,5,-1,,,Perseus,,Urban,Croatia
198977,Globe at Night,2017-11-05 22:54:00+00:00,44.1176,15.2366,13.0243,-60,4,25,,,Perseus,,Urban,Croatia
198976,Globe at Night,2017-11-01 22:30:00+00:00,44.1176,15.2366,13.0243,-60,1,75,,,Perseus,,Urban,Croatia
198975,Globe at Night,2017-10-05 22:30:00+00:00,44.1176,15.2366,13.0243,-60,1,75,,,Pegasus,,Urban,Croatia
198974,Globe at Night,2017-10-01 22:30:00+00:00,44.1176,15.2366,13.0243,-60,2,50,,,Pegasus,,Urban,Croatia
198973,Globe at Night,2017-09-07 23:30:00+00:00,44.1176,15.2366,13.0243,-120,4,25,,,Cygnus,,Urban,Croatia
198972,Globe at Night,2017-09-01 23:30:00+00:00,44.1176,15.2366,13.0243,-120,2,50,,,Cygnus,,Urban,Croatia
198971,Globe at Night,2017-08-05 23:30:00+00:00,44.1176,15.2366,13.0243,-120,5,-1,,,Cygnus,,Urban,Croatia
198970,Globe at Night,2017-08-01 23:30:00+00:00,44.1176,15.2366,13.0243,-120,6,-1,,,Cygnus,,Urban,Croatia
198969,Globe at Night,2017-07-02 23:30:00+00:00,44.1176,15.2366,13.0243,-120,5,-1,,,Hercules,,Urban,Croatia
198968,Globe at Night,2017-07-01 23:30:00+00:00,44.1176,15.2366,13.0243,-120,5,-1,,,Hercules,,Uran,Croatia
198967,Globe at Night,2017-06-05 23:30:00+00:00,44.1176,15.2366,13.0243,-120,4,25,,,Hercules,,Urban,Croatia
198966,Globe at Night,2017-06-01 23:30:00+00:00,44.1176,15.2366,13.0243,-120,5,-1,,,Hercules,,Urban,Croatia
198965,Globe at Night,2017-05-03 23:30:00+00:00,44.1176,15.2366,13.0243,-120,5,-1,,,Bootes,,Urban,Croatia
198964,Globe at Night,2017-05-01 23:30:00+00:00,44.1176,15.2366,13.0243,-120,2,50,,,Bootes,,Urban,Croatia
198963,Globe at Night,2017-04-08 23:30:00+00:00,44.1176,15.2366,13.0243,-120,5,-1,,,Leo,,Urban,Croatia
198962,Globe at Night,2017-04-01 23:30:00+00:00,44.1176,15.2366,13.0243,-120,5,25,,,Leo,,Urban,Croatia
198961,Globe at Night,2017-03-10 23:30:00+00:00,44.1176,15.2366,13.0243,-120,4,-1,,,Leo,,Urban,Croatia
198960,Globe at Night,2017-03-01 23:27:00+00:00,44.1176,15.2366,12.9806,-120,3,25,,,Leo,,Urban,Croatia
198535,Globe at Night,2017-09-09 22:00:00+00:00,35.047,32.4339,3.7476,-120,6,-1,21.25,4795,Cygnus,im Zenit only,Natura Beach,Cyprus
198308,Globe at Night,2017-08-21 23:00:00+00:00,42.8905,-0.113597,942.819,-120,4,-1,,,Cygnus,,,France
198307,Globe at Night,2017-07-17 14:33:00+00:00,42.8906,-0.113543,942.469,-120,4,-1,,,Hercules,,,France
198306,Globe at Night,2017-08-19 00:00:00+00:00,42.7883,-0.0975037,2291.3,-120,6,-1,,,Cygnus,,"sans lumières, parfait",France
198305,Globe at Night,2017-08-24 23:50:00+00:00,42.8059,-0.0995636,1802.85,-120,6,-1,,,Cygnus,,"Sans lumières, parfait",France
198304,Globe at Night,2017-08-23 23:45:00+00:00,42.8511,-0.147629,1540.23,-120,5,-1,,,Cygnus,,Présence du refuge du Clot,France
198303,Globe at Night,2017-08-15 00:00:00+00:00,42.9093,-0.0971603,921.858,-120,3,-1,,,Cygnus,,Présence du halo de Cauterets,France
198302,Globe at Night,2017-10-19 22:00:00+00:00,42.91,-0.0977933,841.348,-60,6,-1,,,Pegasus,,Aucune lumière alentour,France
