ID,ObsType,ObsDateTime,Latitude,Longitude,Elevation,UTCOffset,LimitingMag,CloudCover,SQMReading,SQMSerial,Constellation,SkyComment,LocationComment,Country
65771,Globe at Night,2009-04-02 01:02:00+00:00,32.2104,-110.992,873.05,420,5,-1,19.02,,Orion,,,United States - Arizona
65770,Globe at Night,2009-04-01 01:02:00+00:00,32.2104,-110.992,873.05,420,4,-1,18.96,,Orion,,,United States - Arizona
65769,Globe at Night,2009-03-31 01:02:00+00:00,32.2104,-110.992,873.05,420,4,-1,18.91,,Orion,,,United States - Arizona
65768,Globe at Night,2009-03-30 03:31:00+00:00,27.4829,-109.931,40.75,420,2,-1,15.69,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65767,Globe at Night,2009-03-30 03:29:00+00:00,27.4829,-109.933,40.87,420,1,-1,15.26,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65766,Globe at Night,2009-03-30 03:26:00+00:00,27.4743,-109.933,40.3,420,3,-1,17.1967,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65765,Globe at Night,2009-03-30 03:25:00+00:00,27.4741,-109.94,37.75,420,3,-1,16.78,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65764,Globe at Night,2009-03-30 03:23:00+00:00,27.4741,-109.943,38.9,420,4,-1,18.1467,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65763,Globe at Night,2009-03-30 03:22:00+00:00,27.4742,-109.945,38.79,420,2,-1,15.9967,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65762,Globe at Night,2009-03-30 03:20:00+00:00,27.4817,-109.945,38.15,420,3,-1,17.5667,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65761,Globe at Night,2009-03-30 03:19:00+00:00,27.4875,-109.971,34.95,420,4,-1,17.9367,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65760,Globe at Night,2009-03-30 03:18:00+00:00,27.4805,-109.945,40.1,420,0,-1,13.98,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65759,Globe at Night,2009-03-30 03:16:00+00:00,27.4779,-109.945,38.0,420,3,-1,17.6833,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65758,Globe at Night,2009-03-30 03:15:00+00:00,27.4756,-109.945,38.75,420,4,-1,17.8767,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65757,Globe at Night,2009-03-30 03:15:00+00:00,27.4873,-109.963,34.0,420,3,-1,17.63,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65756,Globe at Night,2009-03-30 03:14:00+00:00,27.488,-109.963,34.0,420,3,-1,17.7233,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65755,Globe at Night,2009-03-30 03:13:00+00:00,27.4911,-109.963,34.0,420,0,-1,13.6167,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65754,Globe at Night,2009-03-30 03:11:00+00:00,27.4911,-109.961,36.69,420,1,-1,15.46,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65753,Globe at Night,2009-03-30 03:11:00+00:00,27.4919,-109.961,34.72,420,1,-1,15.48,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65752,Globe at Night,2009-03-30 03:08:00+00:00,27.4926,-109.961,32.0,420,0,-1,11.5567,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65751,Globe at Night,2009-03-30 03:07:00+00:00,27.4933,-109.661,158.55,420,2,-1,15.8933,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65750,Globe at Night,2009-03-30 03:07:00+00:00,27.4937,-109.961,31.27,420,2,-1,15.8933,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65749,Globe at Night,2009-03-30 03:00:00+00:00,31.9654,-111.598,2032.88,420,6,-1,21.51,,Orion,,,United States - Arizona
65748,Globe at Night,2009-03-30 02:51:00+00:00,27.5157,-109.93,38.89,420,3,-1,16.6933,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65747,Globe at Night,2009-03-30 02:50:00+00:00,27.517,-109.93,36.72,420,3,-1,17.45,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65746,Globe at Night,2009-03-30 02:50:00+00:00,31.9654,-111.598,2032.88,420,6,-1,21.52,,Orion,,,United States - Arizona
65745,Globe at Night,2009-03-30 02:49:00+00:00,27.5194,-109.93,36.83,420,4,-1,18.4633,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65744,Globe at Night,2009-03-30 04:48:00+00:00,36.1113,-97.0587,271.75,300,4,-1,,,Orion,"clear, crescent moon","Stillwater, OK Main & 10th, out front of 17B Clothing fewer street lights, lights from building & windows, car headlights",United States - Oklahoma
65743,Globe at Night,2009-03-30 02:45:00+00:00,31.9654,-111.598,2032.88,420,6,-1,21.51,,Orion,,,United States - Arizona
65742,Globe at Night,2009-03-30 02:44:00+00:00,27.5077,-109.931,43.39,420,0,-1,14.2,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65741,Globe at Night,2009-03-30 02:44:00+00:00,31.9654,-111.598,2032.88,420,6,-1,21.46,,Orion,,,United States - Arizona
65740,Globe at Night,2009-03-30 02:42:00+00:00,27.5014,-109.93,42.53,420,1,-1,15.5233,,Orion,perfectly clear; no moon,SQM data is average of three measurements.,Mexico
65739,Globe at Night,2009-03-30 04:42:00+00:00,36.1143,-97.0586,273.49,300,4,-1,,,Orion,"clear, crescent moon","Stillwater, OK Main St. looking west out from Territory Western Apparel street lights, light leaking from windows, car headlights, stop lights, building lights",United States - Oklahoma
