index,ObsType,Latitude,Longitude,Elevation(m),UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,SkyComment,LocationComment,Country,UTDatetime,UTTimeHour,MoonAlt,MoonAz
39,SQM,34.2365,-110.084,1964.38,2019-01-02,02:28,4.0,17.78,06c0,6,Over cast,"Rural, l steet light far away, very dark, 12 inches of snow on ground",United States - Arizona,2019-01-02 02:28:00,0.49999999999999994,-59.42120908067097,301.76434059962776
41,SQM,33.3369,-111.425,561.773,2019-01-02,03:10,5.0,20.67,3722,0,Phoenix light dome comes from the West.,,United States - Arizona,2019-01-02 03:10:00,0.7071067811865475,-65.76168952500603,313.68919039977595
110,SQM,38.8878,-119.82,1466.48,2019-01-03,07:14,4.0,21.24,,0,clear,,United States - Nevada,2019-01-03 07:14:00,0.9659258262890683,-63.26263542631152,47.092154265666856
130,SQM,45.7688,1.05404,333.936,2019-01-02,22:30,5.0,21.15,7634,0,"ciel clair, dme lumineux Nord Est vers Limoges","Site rural, clairage public teint",France,2019-01-02 22:30:00,-0.5000000000000004,-59.64211340387659,28.447645576256214
170,SQM,33.5127,-112.459,347.593,2019-01-04,06:05,4.0,19.52,06a6,0,"Clear, with cool, dry air (temp~36F; dewpoint~26F).","Suburban subdivision, with no streetlights, but varied front-of-house garage lighting throughout.",United States - Arizona,2019-01-04 06:05:00,1.0,-77.04983074541659,357.2486751714031
201,SQM,38.6086,-90.3598,146.856,2019-01-05,03:31,4.0,18.11,0766,0,,,United States - Missouri,2019-01-05 03:31:00,0.7071067811865475,-60.97635243055538,297.7998381625726
246,SQM,47.6101,20.7281,91.5546,2019-01-03,18:45,4.0,20.25,4772,4,,1. sk. adatom (no.1.data),Hungary,2019-01-03 18:45:00,-1.0,-52.46124316790471,306.39883115526493
247,SQM,47.6101,20.7278,91.409,2019-01-04,18:50,5.0,21.05,4772,0,,2. sk. adatom (no.2. data),Hungary,2019-01-04 18:50:00,-1.0,-47.345841679209336,292.7352739993004
261,SQM,42.6318,-98.6943,576.781,2019-01-04,14:00,6.0,21.33,,0,"Sky was clear, but transparency was not optimal.  I think this kept the SQM reading from being as good as it should have been.",No lights are visible from the observatory location.,United States - Nebraska,2019-01-04 14:00:00,-0.4999999999999998,9.543712586810546,131.3828115205826
262,SQM,42.6318,-98.6943,576.781,2019-01-04,14:00,6.0,21.33,,0,"Sky was clear, but transparency was not optimal.  I think this kept the SQM reading from being as good as it should have been.",No lights are visible from the observatory location.,United States - Nebraska,2019-01-04 14:00:00,-0.4999999999999998,9.543712586810546,131.3828115205826
263,SQM,59.3428,17.8821,39.849,2019-01-05,15:40,4.0,18.4,,2,Haze,Urban/Suburban. Local lights.,Sweden,2019-01-05 15:40:00,-0.7071067811865471,-12.74051190549862,247.56094547986675
269,SQM,37.5373,15.0625,217.459,2019-01-02,18:23,4.0,18.45,,0,,,Italy,2019-01-02 18:23:00,-1.0,-56.523759390433646,298.61352468385627
270,SQM,33.2364,-116.38,195.078,2019-01-05,06:30,4.0,21.08,0069,2,"light, high cloudiness, but sky directly above was clear, with many stars visible","rural, no streetlights, few residential lights",United States - California,2019-01-05 06:30:00,1.0,-75.13054680755064,318.80141910436987
568,SQM,28.441,-16.2975,292.763,2019-08-01,19:30,2.0,17.4,,2,,Urban location,Spain,2019-08-01 19:30:00,-0.9659258262890684,12.306210405059375,283.22606563721354
576,SQM,28.6683,-17.9032,522.444,2019-01-09,23:51,4.0,21.31,7102,0,Sin Luna,Zona suburbana: Los Pedregales,Spain,2019-01-09 23:51:00,-0.2588190451025215,-28.096160888448477,268.87665536203946
577,SQM,28.6683,-17.9032,522.625,2019-01-10,01:31,4.0,21.48,7102,0,Sin Luna . Temperatura: 11C,Zona suburbana: Los Pedregales,Spain,2019-01-10 01:31:00,0.25881904510252074,-48.934233784695365,282.59392102805475
624,SQM,37.2292,-79.9886,338.174,2019-01-11,05:10,5.0,19.3,2795,0,Clear,Suburban Housing Development - Minimal street light interference,United States - Virginia,2019-01-11 05:10:00,0.9659258262890683,-29.0805568500822,280.6229866887856
636,SQM,28.6683,-17.9032,522.566,2019-01-12,00:53,4.0,21.3,7102,2,Nubes bajas al oeste,Zona suburbana Los Pedregales,Spain,2019-01-12 00:53:00,0.0,-19.497502294604136,273.7630132981203
638,SQM,28.6683,-17.9032,522.566,2019-01-12,02:19,4.0,21.14,7102,4,Nubes bajas al oeste y sur . Temp 12C,Zona suburbana Los Pedregales,Spain,2019-01-12 02:19:00,0.49999999999999994,-37.280952010857035,285.7572128675613
651,SQM,51.9044,-8.45894,54.6808,2019-01-12,22:02,2.0,16.02,,6,,"from velux window, cloudy",Ireland,2019-01-12 22:02:00,-0.5000000000000004,12.26296424178371,249.43570202484588
654,SQM,51.9044,-8.45891,54.9021,2019-01-12,22:17,4.0,17.71,,6,,"feom velux window, less low cloud now, mostly high cloud, sky brightness changed a lot in a short time from last reading",Ireland,2019-01-12 22:17:00,-0.5000000000000004,10.169710662069138,252.48769693205944
658,SQM,28.6683,-17.9032,522.823,2019-01-13,00:08,4.0,21.24,7102,0,La luna creciente acaba de ocultarse. Temperatura 18,Zona suburbana Los Pedregales,Spain,2019-01-13 00:08:00,0.0,1.061218118354869,267.276933031786
661,SQM,28.6683,-17.9032,522.447,2019-01-13,02:30,5.0,21.58,7102,0,Luces en la ciudad atenuadas. Sin luna.Temperatura 12,Zona suburbana Los Pedregales,Spain,2019-01-13 02:30:00,0.49999999999999994,-28.575866760066813,285.39481064566587
663,SQM,-26.7585,152.865,425.484,2019-01-12,13:10,6.0,21.36,067F,0,Intermittent scattered cloud,Maleny Golf Club. Nearest streetlights approx 1 km.,Australia,2019-01-12 13:10:00,-0.2588190451025208,-6.404716569305159,263.31028135064406
671,SQM,51.9044,-8.4589,54.5693,2019-01-13,20:32,3.0,17.24,,4,50% cloudy with 1st 1/4moon,,Ireland,2019-01-13 20:32:00,-0.8660254037844386,32.35134445837802,221.23694217973272
675,SQM,38.8878,-119.82,1466.48,2019-01-13,22:17,5.0,21.35,,0,clear,,United States - Nevada,2019-01-13 22:17:00,-0.5000000000000004,29.506354724282115,113.643048472936
676,SQM,39.0218,-119.731,1454.2,2019-01-13,09:00,6.0,21.35,,0,clear,,United States - Nevada,2019-01-13 09:00:00,0.7071067811865476,-19.369019491955367,286.0402817888686
680,SQM,28.6682,-17.9031,522.902,2019-01-14,01:54,4.0,21.49,7102,0,Calima en capas bajas. Temperatura 20 C,Zona suburbana Los Pedregales,Spain,2019-01-14 01:54:00,0.25881904510252074,-9.947964187708966,278.93429382401376
694,SQM,51.9044,-8.4589,54.1459,2019-01-14,22:13,2.0,16.33,,6,low clouds,,Ireland,2019-01-14 22:13:00,-0.5000000000000004,30.129719770700312,238.13843139353625
712,SQM,51.9044,-8.4589,54.2096,2019-01-15,23:38,4.0,17.9,,2,,,Ireland,2019-01-15 23:38:00,-0.2588190451025215,28.80506185346909,249.75568700339903
719,SQM,51.9044,-8.45884,53.9092,2019-01-16,21:50,4.0,18.09,,0,First clear sky in ages. Moon up,Urban/Suburban 10min walk from city centre,Ireland,2019-01-16 21:50:00,-0.7071067811865477,50.07180343117887,208.21560584017956
736,SQM,51.9044,-8.45888,54.3112,2019-01-19,21:48,3.0,16.93,,4,"pointed SQM at a clear patch, 50% cloudy",,Ireland,2019-01-19 21:48:00,-0.7071067811865477,53.640488884643986,138.82750146887486
738,SQM,51.9045,-8.45892,54.9305,2019-01-20,20:54,4.0,17.6,,0,"Clear, full moon, pointed SQM slightly north, away from moon",,Ireland,2019-01-20 20:54:00,-0.8660254037844386,38.35584497690037,107.0038330147434
755,SQM,33.5749,-112.446,377.693,2019-01-21,04:45,3.0,17.07,06a6,4,"Thin alto stratus moving into area eventually obscured viewing of Orion, but all stars in the consellation were clearly seen before cloud obscuration.  Observation made during full lunar eclipse.",,United States - Arizona,2019-01-21 04:45:00,0.8660254037844386,48.50454890152324,97.42010106266912
797,SQM,33.5061,-111.902,382.435,2019-01-26,03:00,4.0,18.3,06c0,0,SQM-L reading taken at zenith.,Many neighboring lights; shielded by house and block wall fence.,United States - Arizona,2019-01-26 03:00:00,0.7071067811865475,-38.28438108151279,60.5322209318564
807,SQM,33.5304,133.825,116.27,2019-01-27,12:19,6.0,21.15,,0,,,Japan,2019-01-27 12:19:00,1.2246467991473532e-16,-35.67087265735743,74.1937592108156
811,SQM,51.887,-8.4282,19.6763,2019-01-26,20:00,2.0,16.24,,6,,,Ireland,2019-01-26 20:00:00,-0.8660254037844386,-35.506450282970654,42.34340035037026
823,SQM,28.6683,-17.9032,522.092,2019-01-27,23:06,5.0,21.63,7102,0,Temp: 15 C,Zona suburbana Los Pedregales .,Spain,2019-01-27 23:06:00,-0.2588190451025215,-33.7286102055058,82.50690669361484
834,SQM,28.6683,-17.9032,522.757,2019-01-28,00:14,4.0,21.65,7102,0,Orin afectado por luces de ciudad.  Temp 14 C,Zona suburbana Los Pedregales,Spain,2019-01-28 00:14:00,0.0,-19.530307857956508,91.04006474377661
872,SQM,52.5075,1.10379,59.6238,2019-01-28,20:56,5.0,20.7,,0,Hazy southern horizon with light dome in SW,Rural,United Kingdom,2019-01-28 20:56:00,-0.8660254037844386,-43.21341590808124,46.715358000601924
886,SQM,28.6683,-17.9032,522.823,2019-01-28,23:02,4.0,21.54,7102,0,"Nubes en Horizonte suroeste. Temp 14,5 C",Zona suburbana Los Pedregales,Spain,2019-01-28 23:02:00,-0.2588190451025215,-46.41384639228669,79.70921974781362
887,SQM,28.6683,-17.9032,522.703,2019-01-29,00:14,4.0,21.6,7102,2,Nubes en Horizonte suroeste. Temp 13 C,Zona suburbana Los Pedregales,Spain,2019-01-29 00:14:00,0.0,-31.44870570365823,89.46839864156972
900,SQM,39.8604,-75.8855,182.23,2019-01-29,02:59,4.0,20.27,3791,0,"Clear, Average Transparency 3/5, Light Dome to the East-Southeast","Rural, No streetlights, No Moonlight, Backyard grass field next to woods. No ambient light directly visible",United States - Pennsylvania,2019-01-29 02:59:00,0.49999999999999994,-44.28871759699269,69.18365647495366
912,SQM,36.0631,137.9,796.205,2019-01-29,10:10,4.0,20.3,7532,2,,,Japan,2019-01-29 10:10:00,0.49999999999999994,-69.3744888362456,6.207378879878528
913,SQM,36.0135,137.859,884.798,2019-01-29,10:28,5.0,20.45,7532,2,,,Japan,2019-01-29 10:28:00,0.49999999999999994,-68.75371725073418,17.568172056877987
915,SQM,35.9604,137.809,953.611,2019-01-29,10:48,5.0,20.59,7532,0,,,Japan,2019-01-29 10:48:00,0.49999999999999994,-67.32768140900791,29.15211272730388
916,SQM,35.9348,137.81,1052.1,2019-01-29,11:02,5.0,20.93,7532,0,,,Japan,2019-01-29 11:02:00,0.258819045102521,-65.91242142091295,36.44963808666082
918,SQM,36.046,137.703,1330.15,2019-01-29,11:42,6.0,21.11,7532,0,,,Japan,2019-01-29 11:42:00,0.258819045102521,-60.52384961588908,52.79530295504264
944,SQM,28.6683,-17.9032,522.566,2019-01-30,00:07,4.0,21.55,7102,0,Algunas nubes en Horizonte suroeste.  Temp 14 C,Zona suburbana Los Pedregales,Spain,2019-01-30 00:07:00,0.0,-44.44215771669526,86.48047754532591
945,SQM,28.6683,-17.9032,522.566,2019-01-30,00:07,4.0,21.55,7102,0,Algunas nubes en Horizonte suroeste.  Temp 14 C,Zona suburbana Los Pedregales,Spain,2019-01-30 00:07:00,0.0,-44.44215771669526,86.48047754532591
946,SQM,28.6683,-17.9032,522.444,2019-01-30,01:50,2.0,20.76,7102,6,"3/4 cielo cubierto, pocas estrellas visibles  Temp 13 C",Zona suburbana Los Pedregales,Spain,2019-01-30 01:50:00,0.25881904510252074,-22.92261925755755,98.21765254653394
961,SQM,31.7599,117.25,20.6486,2019-01-26,14:50,3.0,17.7,0813,0,,school'playground,China,2019-01-26 14:50:00,-0.4999999999999998,-7.330035163577022,89.73698313044993
962,SQM,31.7599,117.25,20.6922,2019-01-26,00:00,2.0,17.32,0813,0,,schools playground,China,2019-01-26 00:00:00,0.0,32.831489237141774,245.69516961862357
964,SQM,35.9103,137.999,728.911,2019-01-30,10:32,4.0,19.92,7532,0,,,Japan,2019-01-30 10:32:00,0.49999999999999994,-72.23008676129604,347.4748875536342
965,SQM,35.8376,138.052,724.815,2019-01-30,10:58,5.0,20.45,,0,,,Japan,2019-01-30 10:58:00,0.49999999999999994,-72.58711454219008,7.148346665689008
966,SQM,35.78,138.133,975.144,2019-01-30,11:40,6.0,21.13,7532,0,,,Japan,2019-01-30 11:40:00,0.258819045102521,-69.66399046333099,35.67406526503477
